step,t,x,y,z,vx,vy,vz,X_inertial,Y_inertial,Jacobi_C,Jacobi_Drift
119,0.119000,0.82312732,0.01938355,0.00484653,0.02019885,0.15868041,-0.00256554,0.81500484,0.11696760,3.1754207949,4.4409e-16
120,0.120000,0.82314760,0.01954218,0.00484395,0.02036270,0.15857458,-0.00258663,0.81488861,0.11794246,3.1754207949,4.4409e-16
121,0.121000,0.82316805,0.01970070,0.00484136,0.02052640,0.15846790,-0.00260771,0.81477142,0.11891712,3.1754207949,0.0000e+00
122,0.122000,0.82318866,0.01985911,0.00483874,0.02068996,0.15836035,-0.00262878,0.81465328,0.11989157,3.1754207949,4.4409e-16
123,0.123000,0.82320943,0.02001742,0.00483610,0.02085336,0.15825196,-0.00264984,0.81453417,0.12086583,3.1754207949,4.4409e-16
124,0.124000,0.82323036,0.02017562,0.00483344,0.02101662,0.15814270,-0.00267089,0.81441410,0.12183987,3.1754207949,4.4409e-16
125,0.125000,0.82325146,0.02033370,0.00483076,0.02117973,0.15803259,-0.00269192,0.81429308,0.12281371,3.1754207949,8.8818e-16
126,0.126000,0.82327272,0.02049168,0.00482806,0.02134268,0.15792163,-0.00271294,0.81417110,0.12378734,3.1754207949,0.0000e+00
127,0.127000,0.82329415,0.02064955,0.00482533,0.02150549,0.15780981,-0.00273395,0.81404816,0.12476075,3.1754207949,4.4409e-16
128,0.128000,0.82331573,0.02080730,0.00482259,0.02166814,0.15769714,-0.00275495,0.81392427,0.12573396,3.1754207949,0.0000e+00
129,0.129000,0.82333748,0.02096494,0.00481982,0.02183063,0.15758362,-0.00277593,0.81379942,0.12670695,3.1754207949,0.0000e+00
130,0.130000,0.82335940,0.02112247,0.00481704,0.02199297,0.15746924,-0.00279691,0.81367361,0.12767972,3.1754207949,0.0000e+00
131,0.131000,0.82338147,0.02127988,0.00481423,0.02215515,0.15735402,-0.00281787,0.81354685,0.12865228,3.1754207949,0.0000e+00
132,0.132000,0.82340371,0.02143717,0.00481140,0.02231717,0.15723794,-0.00283881,0.81341913,0.12962461,3.1754207949,4.4409e-16
133,0.133000,0.82342610,0.02159435,0.00480855,0.02247904,0.15712102,-0.00285975,0.81329045,0.13059673,3.1754207949,0.0000e+00
134,0.134000,0.82344866,0.02175142,0.00480568,0.02264074,0.15700324,-0.00288067,0.81316082,0.13156862,3.1754207949,0.0000e+00
135,0.135000,0.82347139,0.02190836,0.00480279,0.02280228,0.15688462,-0.00290158,0.81303024,0.13254029,3.1754207949,0.0000e+00
136,0.136000,0.82349427,0.02206518,0.00479988,0.02296366,0.15676515,-0.00292248,0.81289870,0.13351174,3.1754207949,8.8818e-16
137,0.137000,0.82351731,0.02222189,0.00479694,0.02312488,0.15664483,-0.00294336,0.81276621,0.13448295,3.1754207949,8.8818e-16
138,0.138000,0.82354052,0.02237847,0.00479399,0.02328593,0.15652367,-0.00296423,0.81263277,0.13545394,3.1754207949,4.4409e-16
139,0.139000,0.82356388,0.02253494,0.00479102,0.02344681,0.15640167,-0.00298509,0.81249837,0.13642469,3.1754207949,0.0000e+00
140,0.140000,0.82358741,0.02269128,0.00478802,0.02360753,0.15627881,-0.00300593,0.81236302,0.13739522,3.1754207949,4.4409e-16
141,0.141000,0.82361110,0.02284749,0.00478500,0.02376808,0.15615512,-0.00302676,0.81222672,0.13836551,3.1754207949,0.0000e+00
142,0.142000,0.82363495,0.02300359,0.00478197,0.02392846,0.15603058,-0.00304758,0.81208946,0.13933556,3.1754207949,4.4409e-16
143,0.143000,0.82365896,0.02315956,0.00477891,0.02408867,0.15590520,-0.00306838,0.81195126,0.14030538,3.1754207949,4.4409e-16
144,0.144000,0.82368312,0.02331540,0.00477583,0.02424871,0.15577898,-0.00308917,0.81181210,0.14127496,3.1754207949,0.0000e+00
145,0.145000,0.82370745,0.02347111,0.00477273,0.02440857,0.15565192,-0.00310995,0.81167199,0.14224430,3.1754207949,0.0000e+00
146,0.146000,0.82373194,0.02362670,0.00476961,0.02456827,0.15552402,-0.00313071,0.81153093,0.14321339,3.1754207949,4.4409e-16
147,0.147000,0.82375659,0.02378216,0.00476647,0.02472778,0.15539528,-0.00315145,0.81138893,0.14418224,3.1754207949,4.4409e-16
148,0.148000,0.82378140,0.02393749,0.00476331,0.02488712,0.15526570,-0.00317219,0.81124597,0.14515085,3.1754207949,4.4409e-16
149,0.149000,0.82380636,0.02409269,0.00476013,0.02504629,0.15513529,-0.00319291,0.81110206,0.14611921,3.1754207949,4.4409e-16
